timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1568532916101,1510,Domain,200,OK,HomePage 1-271,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,973,0,87
1568532916101,973,Domain-0,302,Found,HomePage 1-271,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,973,0,87
1568532917075,536,Domain-1,200,OK,HomePage 1-271,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,536,0,0
1568532916086,1532,Domain,200,OK,HomePage 1-21,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1001,0,102
1568532916086,1001,Domain-0,302,Found,HomePage 1-21,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1001,0,102
1568532917087,531,Domain-1,200,OK,HomePage 1-21,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,531,0,0
1568532915946,1679,Domain,200,OK,HomePage 1-157,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1152,0,242
1568532916042,1583,Domain,200,OK,HomePage 1-109,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1055,0,146
1568532915946,1152,Domain-0,302,Found,HomePage 1-157,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1152,0,242
1568532916042,1055,Domain-0,302,Found,HomePage 1-109,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1055,0,146
1568532917098,527,Domain-1,200,OK,HomePage 1-157,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,527,0,0
1568532917097,528,Domain-1,200,OK,HomePage 1-109,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,528,0,0
1568532915948,1680,Domain,200,OK,HomePage 1-165,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1151,0,241
1568532915948,1151,Domain-0,302,Found,HomePage 1-165,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1151,0,241
1568532917099,529,Domain-1,200,OK,HomePage 1-165,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,529,0,0
1568532916085,1545,Domain,200,OK,HomePage 1-103,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1014,0,103
1568532916085,1014,Domain-0,302,Found,HomePage 1-103,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1014,0,103
1568532917099,531,Domain-1,200,OK,HomePage 1-103,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,531,0,0
1568532915962,1671,Domain,200,OK,HomePage 1-20,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1140,0,227
1568532915962,1140,Domain-0,302,Found,HomePage 1-20,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1140,0,227
1568532917102,531,Domain-1,200,OK,HomePage 1-20,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,531,0,0
1568532916041,1595,Domain,200,OK,HomePage 1-124,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1067,0,148
1568532916041,1067,Domain-0,302,Found,HomePage 1-124,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1067,0,148
1568532917109,527,Domain-1,200,OK,HomePage 1-124,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,527,0,0
1568532915946,1697,Domain,200,OK,HomePage 1-153,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1166,0,242
1568532916086,1557,Domain,200,OK,HomePage 1-305,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1033,0,103
1568532915946,1166,Domain-0,302,Found,HomePage 1-153,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1166,0,242
1568532916086,1033,Domain-0,302,Found,HomePage 1-305,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1033,0,103
1568532917112,531,Domain-1,200,OK,HomePage 1-153,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,531,0,0
1568532917119,524,Domain-1,200,OK,HomePage 1-305,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,524,0,0
1568532916084,1572,Domain,200,OK,HomePage 1-57,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1561,0,108
1568532916084,1561,Domain-0,302,Found,HomePage 1-57,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1561,0,108
1568532917645,11,Domain-1,200,OK,HomePage 1-57,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,11,0,0
1568532916110,1561,Domain,200,OK,HomePage 1-282,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1036,0,80
1568532916110,1036,Domain-0,302,Found,HomePage 1-282,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1036,0,80
1568532917146,525,Domain-1,200,OK,HomePage 1-282,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,525,0,0
1568532915970,1960,Domain,200,OK,HomePage 1-6,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1446,0,220
1568532915970,1446,Domain-0,302,Found,HomePage 1-6,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1446,0,220
1568532917416,514,Domain-1,200,OK,HomePage 1-6,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,514,0,0
1568532916118,1835,Domain,200,OK,HomePage 1-295,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1822,0,75
1568532916118,1822,Domain-0,302,Found,HomePage 1-295,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1822,0,75
1568532917941,12,Domain-1,200,OK,HomePage 1-295,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,11,0,0
1568532916085,2045,Domain,200,OK,HomePage 1-313,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1534,0,105
1568532916085,1534,Domain-0,302,Found,HomePage 1-313,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1534,0,105
1568532917619,511,Domain-1,200,OK,HomePage 1-313,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,511,0,0
1568532916088,2057,Domain,200,OK,HomePage 1-82,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1546,0,103
1568532916086,2059,Domain,200,OK,HomePage 1-310,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1549,0,105
1568532916111,2034,Domain,200,OK,HomePage 1-286,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1517,0,80
1568532916088,1547,Domain-0,302,Found,HomePage 1-82,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1546,0,103
1568532916086,1549,Domain-0,302,Found,HomePage 1-310,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1549,0,105
1568532916111,1517,Domain-0,302,Found,HomePage 1-286,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1517,0,80
1568532917635,510,Domain-1,200,OK,HomePage 1-82,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532917635,510,Domain-1,200,OK,HomePage 1-310,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532917628,517,Domain-1,200,OK,HomePage 1-286,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,517,0,0
1568532916084,2063,Domain,200,OK,HomePage 1-37,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1553,0,107
1568532916084,1553,Domain-0,302,Found,HomePage 1-37,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1553,0,107
1568532917637,510,Domain-1,200,OK,HomePage 1-37,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532915968,2196,Domain,200,OK,HomePage 1-3,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1686,0,224
1568532915968,1686,Domain-0,302,Found,HomePage 1-3,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1686,0,224
1568532917654,510,Domain-1,200,OK,HomePage 1-3,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532916121,2045,Domain,200,OK,HomePage 1-354,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1535,0,70
1568532916121,1535,Domain-0,302,Found,HomePage 1-354,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1535,0,70
1568532917656,510,Domain-1,200,OK,HomePage 1-354,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532916182,1986,Domain,200,OK,HomePage 1-438,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1474,0,10
1568532916182,1474,Domain-0,302,Found,HomePage 1-438,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1474,0,10
1568532917656,512,Domain-1,200,OK,HomePage 1-438,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,512,0,0
1568532916042,2128,Domain,200,OK,HomePage 1-45,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1612,0,150
1568532916042,1612,Domain-0,302,Found,HomePage 1-45,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1612,0,150
1568532917654,516,Domain-1,200,OK,HomePage 1-45,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,516,0,0
1568532915954,2219,Domain,200,OK,HomePage 1-142,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1712,0,239
1568532915954,1712,Domain-0,302,Found,HomePage 1-142,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1712,0,239
1568532917666,507,Domain-1,200,OK,HomePage 1-142,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,507,0,0
1568532916111,2080,Domain,200,OK,HomePage 1-294,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1567,0,82
1568532916111,1567,Domain-0,302,Found,HomePage 1-294,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1567,0,82
1568532917678,513,Domain-1,200,OK,HomePage 1-294,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,513,0,0
1568532917090,1206,Domain,200,OK,HomePage 1-111,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1199,0,2
1568532917090,1199,Domain-0,302,Found,HomePage 1-111,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1199,0,2
1568532918290,6,Domain-1,200,OK,HomePage 1-111,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,6,0,0
1568532917090,1207,Domain,200,OK,HomePage 1-336,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1201,0,2
1568532917090,1201,Domain-0,302,Found,HomePage 1-336,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1201,0,2
1568532918291,6,Domain-1,200,OK,HomePage 1-336,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,6,0,0
1568532916121,2353,Domain,200,OK,HomePage 1-352,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1842,0,73
1568532916121,1842,Domain-0,302,Found,HomePage 1-352,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1842,0,73
1568532917963,511,Domain-1,200,OK,HomePage 1-352,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,511,0,0
1568532915953,2719,Domain,200,OK,HomePage 1-131,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,2204,0,241
1568532915953,2204,Domain-0,302,Found,HomePage 1-131,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,2204,0,241
1568532918157,515,Domain-1,200,OK,HomePage 1-131,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,515,0,0
1568532917090,1712,Domain,200,OK,HomePage 1-338,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1202,0,3
1568532917090,1712,Domain,200,OK,HomePage 1-245,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1203,0,3
1568532917090,1203,Domain-0,302,Found,HomePage 1-245,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1203,0,3
1568532917090,1202,Domain-0,302,Found,HomePage 1-338,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1202,0,3
1568532918293,509,Domain-1,200,OK,HomePage 1-245,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,509,0,0
1568532918292,510,Domain-1,200,OK,HomePage 1-338,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532917090,1713,Domain,200,OK,HomePage 1-260,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1203,0,3
1568532917090,1203,Domain-0,302,Found,HomePage 1-260,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1203,0,3
1568532918293,510,Domain-1,200,OK,HomePage 1-260,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532917090,1714,Domain,200,OK,HomePage 1-308,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1204,0,3
1568532917090,1204,Domain-0,302,Found,HomePage 1-308,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1204,0,3
1568532918294,510,Domain-1,200,OK,HomePage 1-308,text,true,,4556,135,1000,1000,http://192.168.2.184/envintory-qa/Login,510,0,0
1568532917092,1716,Domain,200,OK,HomePage 1-112,text,true,,5659,270,1000,1000,http://192.168.2.184/envintory-qa/Login,1208,0,3
1568532917092,1208,Domain-0,302,Found,HomePage 1-112,text,true,,1103,135,1000,1000,http://192.168.2.184/envintory-qa/index,1208,0,3
